,Location,Time,PopTotal,PopDensity,Code_3_digits
0,Afghanistan,2020,38928.341,59.626999999999995,AFG
1,Albania,2020,2877.8,105.029,ALB
2,Algeria,2020,43851.043,18.410999999999998,DZA
3,American Samoa,2020,55.196999999999996,275.985,ASM
4,Andorra,2020,77.265,164.394,AND
5,Angola,2020,32866.268,26.363000000000003,AGO
6,Anguilla,2020,15.002,166.68900000000002,AIA
7,Antigua and Barbuda,2020,97.928,222.56400000000002,ATG
8,Argentina,2020,45195.777,16.515,ARG
9,Armenia,2020,2963.2340000000004,104.083,ARM
10,Aruba,2020,106.766,593.144,ABW
11,Australia,2020,25499.881,3.319,AUS
12,Austria,2020,9006.4,109.289,AUT
13,Azerbaijan,2020,10139.175,122.664,AZE
14,Bahamas,2020,393.24800000000005,39.286,BHS
15,Bahrain,2020,1701.5829999999999,2238.925,BHR
16,Bangladesh,2020,164689.383,1265.187,BGD
17,Barbados,2020,287.371,668.305,BRB
18,Belarus,2020,9449.321,46.568999999999996,BLR
19,Belgium,2020,11589.616000000002,382.74800000000005,BEL
20,Belize,2020,397.621,17.432000000000002,BLZ
21,Benin,2020,12123.198,107.51299999999999,BEN
22,Bermuda,2020,62.273,1245.46,BMU
23,Bhutan,2020,771.612,20.243,BTN
24,Bolivia (Plurinational State of),2020,11673.028999999999,10.775,BOL
25,"Bonaire, Sint Eustatius and Saba",2020,26.221,79.942,BES
26,Bosnia and Herzegovina,2020,3280.815,64.33,BIH
27,Botswana,2020,2351.625,4.149,BWA
28,Brazil,2020,212559.40899999999,25.430999999999997,BRA
29,Brunei Darussalam,2020,437.483,83.014,BRN
30,Bulgaria,2020,6948.445,64.006,BGR
31,Burkina Faso,2020,20903.278000000002,76.40100000000001,BFA
32,Burundi,2020,11890.781,463.037,BDI
33,Cabo Verde,2020,555.988,137.96200000000002,CPV
34,Cambodia,2020,16718.971,94.714,KHM
35,Cameroon,2020,26545.863999999998,56.157,CMR
36,Canada,2020,37742.157,4.15,CAN
37,Cayman Islands,2020,65.72,273.83299999999997,CYM
38,Central African Republic,2020,4829.764,7.752999999999999,CAF
39,Chad,2020,16425.859,13.045,TCD
40,Chile,2020,19116.209,25.71,CHL
41,China,2020,1439323.774,153.312,CHN
42,Colombia,2020,50882.884000000005,45.861000000000004,COL
43,Comoros,2020,869.595,467.273,COM
44,Congo,2020,5518.092,16.158,COG
45,Cook Islands,2020,17.564,73.183,COK
46,Costa Rica,2020,5094.1140000000005,99.76700000000001,CRI
47,Croatia,2020,4105.268,73.361,HRV
48,Cuba,2020,11326.616000000002,106.413,CUB
49,Curaçao,2020,164.1,369.595,CUW
50,Cyprus,2020,1207.361,130.667,CYP
51,Czechia,2020,10708.982,138.64600000000002,CZE
52,Côte d'Ivoire,2020,26378.275,82.95100000000001,CIV
53,Denmark,2020,5792.203,136.512,DNK
54,Djibouti,2020,988.002,42.623000000000005,DJI
55,Dominica,2020,71.991,95.988,DMA
56,Dominican Republic,2020,10847.903999999999,224.50099999999998,DOM
57,Ecuador,2020,17643.06,71.038,ECU
58,Egypt,2020,102334.403,102.802,EGY
59,El Salvador,2020,6486.201,313.041,SLV
60,Equatorial Guinea,2020,1402.985,50.016999999999996,GNQ
61,Eritrea,2020,3546.427,35.113,ERI
62,Estonia,2020,1326.539,31.294,EST
63,Eswatini,2020,1160.164,67.45100000000001,SWZ
64,Ethiopia,2020,114963.58300000001,114.964,ETH
65,Falkland Islands (Malvinas),2020,3.483,0.28600000000000003,FLK
66,Faroe Islands,2020,48.865,35.004,FRO
67,Fiji,2020,896.444,49.066,FJI
68,Finland,2020,5540.718000000001,18.233,FIN
69,France,2020,65273.512,119.209,FRA
70,French Guiana,2020,298.682,3.634,GUF
71,French Polynesia,2020,280.904,76.75,PYF
72,Gabon,2020,2225.728,8.638,GAB
73,Gambia,2020,2416.6639999999998,238.801,GMB
74,Georgia,2020,3989.175,57.406000000000006,GEO
75,Germany,2020,83783.945,240.372,DEU
76,Ghana,2020,31072.945,136.56,GHA
77,Gibraltar,2020,33.691,3369.1,GIB
78,Greece,2020,10423.056,80.862,GRC
79,Greenland,2020,56.772,0.138,GRL
80,Grenada,2020,112.51899999999999,330.93800000000005,GRD
81,Guadeloupe,2020,400.12699999999995,245.778,GLP
